epsilon,dnn_acc,gp_acc,dnn_entropy_mean,gp_entropy_mean,dnn_1_minus_maxprob_mean,gp_1_minus_maxprob_mean,gp_epistemic_sum_mean,gp_aleatoric_sum_mean
0.00000000,1.00000000,1.00000000,0.02933136,0.10995831,0.01116431,0.04624038,0.03471861,0.02512429
0.05000000,0.90000000,0.90000000,0.11825696,0.35133903,0.04537024,0.15830365,0.13085941,0.07096476
0.10000000,0.64000000,0.64000000,0.22147455,0.53881137,0.09075739,0.26105332,0.22323088,0.09198794
0.15000000,0.48000000,0.46000000,0.26706974,0.68156496,0.10384818,0.31012770,0.25549930,0.12960679
0.20000000,0.38000000,0.28000000,0.39026736,0.88186955,0.14956868,0.40213325,0.31057039,0.17048321
0.25000000,0.20000000,0.22000000,0.56740115,1.00428677,0.20895432,0.44155454,0.31084580,0.21236883
0.30000000,0.10000000,0.14000000,0.66789672,1.07491768,0.24749920,0.45929083,0.31843505,0.22976510
