scale,n_train,method,epochs,mean_var_all,mean_var_center,std_var_all
1,10,laplace_j,2400,0.57312364,0.40339771,0.19282333
1,10,dual_blr_diag,2400,0.49118459,0.29875479,0.21847891
10,100,laplace_j,1400,0.13420670,0.12412496,0.01384903
10,100,dual_blr_diag,1400,0.03947168,0.04394039,0.00620384
100,1000,laplace_j,700,0.00406191,0.00387660,0.00075123
100,1000,dual_blr_diag,700,0.00395005,0.00361831,0.00068736
1000,10000,laplace_j,260,0.00041921,0.00043709,0.00008562
1000,10000,dual_blr_diag,260,0.00038331,0.00039423,0.00007861
